timestamp,question_id,lesson,question_type,reason,file_path
2026-06-15T08:47:14.503447,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.506097,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.519090,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.528571,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.538391,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.547346,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.556456,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.566167,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.575366,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.585344,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.595918,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.606154,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.616864,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.626680,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.636638,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.647207,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.657608,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.667674,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.679363,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.690002,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.700802,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.711838,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.722080,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.732743,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.744263,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.755449,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.766895,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.777407,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.788270,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.802189,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.813266,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.824136,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:14.836000,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.847999,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.862185,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.872305,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.883352,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.894980,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.905644,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.916902,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.928727,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.939280,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.955316,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:14.967536,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.979366,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:14.991148,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.003907,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.013943,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.024827,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.036032,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.052241,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.063826,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.074952,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.086403,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.098656,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.110728,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.122697,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.134703,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.146788,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.157976,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.170114,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.182110,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.193621,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.206964,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.218696,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.231115,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.243592,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.257167,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.274158,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.286529,,,HTML_SANITIZER,Removed tag: <sub>,
2026-06-15T08:47:15.302102,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.313476,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.324412,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.336011,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.349135,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.362273,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.377336,,,HTML_SANITIZER,Removed tag: <img>,
